Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-19 00:00:00+05:30,16185.40970086628,16300.875566272493,16065.765233240787,16269.552734375,11012,0.0,0.0
2023-01-20 00:00:00+05:30,16269.553988674168,16269.553988674168,15956.562939750287,16092.8662109375,13266,0.0,0.0
2023-01-23 00:00:00+05:30,16060.069767900743,16193.002706312327,15975.544841200915,16065.859375,9369,0.0,0.0
2023-01-24 00:00:00+05:30,16131.25815066974,16278.332340013716,16065.907705103346,16182.98828125,9194,0.0,0.0
2023-01-25 00:00:00+05:30,16159.73445560524,16173.877560203466,15822.776703373824,15870.5673828125,10286,0.0,0.0
2023-01-27 00:00:00+05:30,15870.565385261485,16040.990793842964,15534.27228448053,15847.5478515625,14922,0.0,0.0
2023-01-30 00:00:00+05:30,15898.70947024394,15993.152550380615,15704.128249861851,15747.5048828125,8527,0.0,0.0
2023-01-31 00:00:00+05:30,15757.284698318304,16278.334582347168,15756.335521479661,16163.15234375,13928,0.0,0.0
2023-02-01 00:00:00+05:30,16230.920331265812,16458.72272188007,15927.183810446802,16248.0537109375,13466,0.0,0.0
2023-02-02 00:00:00+05:30,16248.055564231618,16406.51987873326,16124.519841291845,16296.1298828125,7224,0.0,0.0
2023-02-03 00:00:00+05:30,16230.92277308559,16558.388758858368,16214.8813148944,16530.33984375,17688,0.0,0.0
2023-02-06 00:00:00+05:30,16687.475566952497,16705.41537735922,16431.19785788719,16562.70703125,9895,0.0,0.0
2023-02-07 00:00:00+05:30,16591.609394298994,16591.609394298994,16392.37682605181,16529.818359375,7133,0.0,0.0
2023-02-08 00:00:00+05:30,16521.370256486724,16604.091379749567,16403.672341296307,16560.712890625,11346,0.0,0.0
2023-02-09 00:00:00+05:30,16439.73874970494,16728.240236392405,16439.73874970494,16634.130859375,19549,0.0,0.0
2023-02-10 00:00:00+05:30,16629.575288230757,16670.104390568184,16515.674087626438,16609.642578125,7263,0.0,0.0
2023-02-13 00:00:00+05:30,16629.528329132296,16757.715389758294,16335.379939704042,16523.36328125,16189,0.0,0.0
2023-02-14 00:00:00+05:30,16532.85487833248,16769.105337891717,16110.565779149836,16527.4453125,71926,0.0,0.0
2023-02-15 00:00:00+05:30,16534.847048474578,17132.639269918862,16359.154813769603,16947.787109375,70046,0.0,0.0
2023-02-16 00:00:00+05:30,16952.297679071147,17253.186725222633,16876.36353493197,17213.55859375,31924,0.0,0.0
2023-02-17 00:00:00+05:30,17180.09859651215,17292.43329031995,16945.603746776218,17098.9921875,19869,0.0,0.0
2023-02-20 00:00:00+05:30,17120.251104608345,17375.53327797013,16991.211280065523,17259.2109375,27323,0.0,0.0
2023-02-21 00:00:00+05:30,17260.77753532661,17583.497599226037,17037.721020572597,17537.2734375,37541,0.0,0.0
2023-02-22 00:00:00+05:30,17602.52385150579,17722.469305283306,17494.76410617299,17571.48046875,24230,200.0,0.0
2023-02-23 00:00:00+05:30,17571.481499110134,17700.975743090276,17377.45847136155,17572.201171875,33232,0.0,0.0
2023-02-24 00:00:00+05:30,17605.11424765821,17652.27717578107,16996.175531542976,17090.1171875,27827,0.0,0.0
2023-02-27 00:00:00+05:30,17080.232626862427,17272.14535300695,16773.220992871815,17155.4140625,16150,0.0,0.0
2023-02-28 00:00:00+05:30,17299.348492512614,17405.90878265756,17114.105859317344,17268.546875,22621,0.0,0.0
2023-03-01 00:00:00+05:30,17268.547350975674,17631.982083721778,17268.547350975674,17562.173828125,17785,0.0,0.0
2023-03-02 00:00:00+05:30,17560.015171425723,17694.882594983414,17397.897638942086,17445.107421875,18731,0.0,0.0
2023-03-03 00:00:00+05:30,17468.858168398554,17641.484062837862,17214.622501044985,17256.5546875,20886,0.0,0.0
2023-03-06 00:00:00+05:30,17257.751887059738,17456.381558487115,17176.188978502603,17364.119140625,16396,0.0,0.0
2023-03-08 00:00:00+05:30,17367.141783865958,18063.784964985727,17296.18280453907,17966.8203125,70670,0.0,0.0
2023-03-09 00:00:00+05:30,18013.840854081966,18182.72406754913,17665.616681995525,17723.95703125,52910,0.0,0.0
2023-03-10 00:00:00+05:30,17607.991527002476,17734.36529963805,17322.232745913392,17645.703125,29144,0.0,0.0
2023-03-13 00:00:00+05:30,17608.042798274364,17682.551421003416,17081.289175422567,17239.6171875,26039,0.0,0.0
2023-03-14 00:00:00+05:30,17329.720177299303,17531.228551453944,17128.21180314466,17274.78515625,29189,0.0,0.0
2023-03-15 00:00:00+05:30,17368.10414617458,17506.232600484553,17236.115400642113,17313.984375,12219,0.0,0.0
2023-03-16 00:00:00+05:30,17313.979659353306,17478.449218705784,17222.821126508014,17385.70703125,24600,0.0,0.0
2023-03-17 00:00:00+05:30,17464.059020743975,17560.5438986743,17339.315742024373,17381.15234375,15709,0.0,0.0
2023-03-20 00:00:00+05:30,17420.828170798322,17608.951361436593,17248.204181046487,17405.8125,49184,0.0,0.0
2023-03-21 00:00:00+05:30,17462.14024670314,17721.60664651944,17389.78876875227,17626.9453125,40044,0.0,0.0
2023-03-22 00:00:00+05:30,17636.732664238996,17871.874506397093,17636.732664238996,17679.193359375,16984,0.0,0.0
2023-03-23 00:00:00+05:30,17679.960909520836,17745.40240322829,17560.975012490682,17682.6484375,24300,0.0,0.0
2023-03-24 00:00:00+05:30,17682.647406130036,17799.905332027487,17568.554915722158,17706.4921875,21757,0.0,0.0
2023-03-27 00:00:00+05:30,17753.848336076557,17895.863769745312,17561.024751980753,17600.173828125,24228,0.0,0.0
2023-03-28 00:00:00+05:30,17636.777447951128,17895.85959762179,17623.15239566448,17782.822265625,40504,0.0,0.0
2023-03-29 00:00:00+05:30,17782.8261514424,18270.093361660987,17707.693436108766,18209.78515625,50052,0.0,0.0
2023-03-31 00:00:00+05:30,18193.32874005446,18716.242257109032,18135.803642774496,18586.654296875,46121,0.0,0.0
2023-04-03 00:00:00+05:30,18711.491702390755,18712.30695668668,18423.62259927705,18648.400390625,29923,0.0,0.0
2023-04-05 00:00:00+05:30,18617.45415733132,18860.175035808326,18332.512477755325,18368.54296875,46684,0.0,0.0
2023-04-06 00:00:00+05:30,18368.928172386273,18482.205418454043,17977.42617717478,18035.0,72459,0.0,0.0
2023-04-10 00:00:00+05:30,18174.135988592272,18174.135988592272,17746.60164391112,17792.998046875,46233,0.0,0.0
2023-04-11 00:00:00+05:30,17798.947681266713,18164.492735649736,17708.844271919315,17852.443359375,51741,0.0,0.0
2023-04-12 00:00:00+05:30,17886.266169966162,18145.348351612665,17886.266169966162,18006.69140625,43141,0.0,0.0
2023-04-13 00:00:00+05:30,18087.62941612457,18193.32572070811,17886.265370991518,18142.517578125,25704,0.0,0.0
2023-04-17 00:00:00+05:30,18142.518746422444,18279.5920396605,18003.382016497326,18121.55078125,21810,0.0,0.0
2023-04-18 00:00:00+05:30,18121.55295605921,18281.560214675934,18001.416321737513,18053.47265625,13612,0.0,0.0
2023-04-19 00:00:00+05:30,18135.606830923938,18136.710703838708,17859.012636945765,17930.595703125,13542,0.0,0.0
2023-04-20 00:00:00+05:30,17943.840896068246,18074.532720208288,17930.59816756603,17982.751953125,5156,0.0,0.0
2023-04-21 00:00:00+05:30,18073.334318708195,18087.680921112853,17918.89328438314,18008.083984375,9208,0.0,0.0
2023-04-24 00:00:00+05:30,18015.808335664547,18053.471210613938,17887.611001112233,17974.69140625,13782,0.0,0.0
2023-04-25 00:00:00+05:30,18038.838008273997,18111.764849522406,17915.918273051975,18017.103515625,13444,0.0,0.0
2023-04-26 00:00:00+05:30,17924.792217714472,18267.931783571483,17924.792217714472,18194.380859375,17670,0.0,0.0
2023-04-27 00:00:00+05:30,18194.38135025611,18404.430201156196,18131.290042345474,18344.74609375,14870,0.0,0.0
2023-04-28 00:00:00+05:30,18404.429585173475,18639.473935977836,18384.469912919452,18588.521484375,24308,0.0,0.0
2023-05-02 00:00:00+05:30,18588.523410483846,19047.72336194671,18579.072083009018,18997.73046875,29017,0.0,0.0
2023-05-03 00:00:00+05:30,18946.584684707548,18949.367794183127,18496.118268996397,18536.466796875,22537,0.0,0.0
2023-05-04 00:00:00+05:30,18533.924640172103,18683.425418344705,18308.475892403578,18417.146484375,27882,0.0,0.0
2023-05-05 00:00:00+05:30,18452.358916424222,18615.533452869895,18447.658554200098,18543.421875,10241,0.0,0.0
2023-05-08 00:00:00+05:30,18548.314747902812,18748.52805802529,18490.838390407785,18530.755859375,18577,0.0,0.0
2023-05-09 00:00:00+05:30,18571.059452586505,18651.51848999547,18260.54502955818,18448.90625,22253,0.0,0.0
2023-05-10 00:00:00+05:30,18575.569288811832,18669.22232964896,18205.801797584412,18572.115234375,43422,0.0,0.0
2023-05-11 00:00:00+05:30,18423.622402460343,18875.8167804374,18279.687852441122,18686.447265625,61928,0.0,0.0
2023-05-12 00:00:00+05:30,18740.277210095,18845.780478830708,18031.20843367113,18210.88671875,59933,0.0,0.0
2023-05-15 00:00:00+05:30,18333.18309985583,18557.816574190863,18164.588517185934,18451.498046875,25309,0.0,0.0
2023-05-16 00:00:00+05:30,18375.644316417012,18518.61930352647,18101.304687798227,18239.09765625,41812,0.0,0.0
2023-05-17 00:00:00+05:30,18327.664230693426,18442.763131530282,18179.027458516553,18361.873046875,13967,0.0,0.0
2023-05-18 00:00:00+05:30,18471.551660429795,18537.665971194514,18203.59350934279,18245.671875,13824,0.0,0.0
2023-05-19 00:00:00+05:30,18385.2421925986,18385.2421925986,17959.291451939425,18120.59375,25164,0.0,0.0
2023-05-22 00:00:00+05:30,18121.408958179105,18174.136233124525,17983.231787240882,18068.775390625,10716,0.0,0.0
2023-05-23 00:00:00+05:30,18073.380406959943,18264.862073009175,18032.83884485779,18092.140625,17174,0.0,0.0
2023-05-24 00:00:00+05:30,18092.141251099616,18145.29957706392,17934.24430558796,17993.017578125,12145,0.0,0.0
2023-05-25 00:00:00+05:30,18069.494129031507,18098.37849383702,17924.984220060673,18021.708984375,10507,0.0,0.0
2023-05-26 00:00:00+05:30,18021.708808994823,18220.67395245485,18012.928426968032,18175.765625,11558,0.0,0.0
